epoch,acc,auc,loss,lr,precision,recall,val_acc,val_auc,val_loss,val_precision,val_recall
0,0.6000000238418579,0.6274999380111694,0.6805222630500793,1e-05,0.5909090638160706,0.6499999761581421,0.5,0.5,0.6931784749031067,0.5,1.0
1,0.550000011920929,0.5874999761581421,0.6866146922111511,1e-05,0.550000011920929,0.550000011920929,0.5,0.5,0.6931858062744141,0.5,1.0
2,0.6000000238418579,0.5212500095367432,0.6978682279586792,1e-05,0.6111111044883728,0.550000011920929,0.5,0.5,0.6933155655860901,0.5,1.0
3,0.4749999940395355,0.4925000071525574,0.6984308958053589,5e-06,0.48148149251937866,0.6499999761581421,0.5,0.5,0.6932886242866516,0.5,1.0
4,0.42500001192092896,0.5012500286102295,0.6952518224716187,5e-06,0.4285714328289032,0.44999998807907104,0.5,0.5,0.6932651996612549,0.5,1.0
5,0.4749999940395355,0.48375001549720764,0.6979236602783203,2.5e-06,0.47999998927116394,0.6000000238418579,0.5,0.5,0.6932365298271179,0.5,1.0
